,epoch,time_trainer,time_epoch,acc_time,time_trainer (s),time_epoch (s),acc_time (min)
0,0,,,,3583.7961523532867,4190.583868265152,69.84306447108587
1,1,,,,3582.4438033103943,4186.763867378235,139.62246226072313
2,2,,,,3583.2806487083435,4187.527265071869,209.41458334525427
3,3,,,,3584.5409877300262,4188.399808645248,279.2212468226751
4,4,,,,3582.939924478531,4187.351425409317,349.0104372461637
5,5,,,,3583.4194734096527,4187.450968503952,418.80128672122953
6,6,,,,3583.594673395157,4188.154009103775,488.6038535396258
7,7,,,,3585.0265939235687,4189.257967948914,558.4248196721077
8,8,,,,3584.6426074504852,4189.223767995834,628.2452158053716
9,9,,,,3583.2634432315826,4187.849281072617,698.0427038232485
10,10,,,,3583.7716705799103,4188.280257701874,767.8473747849464
11,11,,,,3583.847869157791,4187.371783256531,837.6369045058887
12,12,,,,3609.1180291175842,4215.336462974548,907.8925122221311
13,13,,,,3606.7632024288177,4210.168534517288,978.0619877974192
14,14,,,,3584.644187450409,4187.52339053154,1047.8540443062782
15,15,,,,3583.6538400650024,4187.003548622131,1117.6374367833137
16,16,,,,3584.547516345978,4187.3645050525665,1187.4268452008566
17,17,,,,3584.294376373291,4185.694141626358,1257.1884142279625
18,18,,,,3583.414572954178,4186.276616096497,1326.9596911629042
19,19,,,,3584.31520485878,4188.680965900421,1396.7710405945777
20,20,,,,3582.4144332408905,4187.036369562149,1466.5549800872802
21,21,,,,3583.627739429474,4188.638847112656,1536.365627539158
22,22,,,,3583.125951528549,4187.453644990921,1606.1565216223398
23,23,,,,3585.1369574069977,4189.5247893333435,1675.9819347778955
24,24,,,,3582.998239517212,4186.421755313873,1745.7556306997935
25,25,,,,3583.0084109306335,4187.326948881149,1815.544413181146
26,26,,,,3582.63191986084,4186.642936706543,1885.3217954595884
27,27,,,,3583.305883169174,4187.296135425568,1955.110064383348
28,28,,,,3582.7973732948303,4186.953136920929,2024.8926166653632
29,29,,,,3582.865250825882,4186.163147211075,2094.6620024522144
30,30,,,,3583.2083492279053,4187.438835382462,2164.452649708589
31,31,,,,3584.3847167491913,4189.760892152786,2234.2819979111355
32,32,,,,3581.8123319149017,4188.34513258934,2304.0877501209575
33,33,,,,3583.6729044914246,4190.537625551224,2373.9300438801447
34,34,,,,3583.2975165843964,4188.7888197898865,2443.743190876643
35,35,,,,3583.0177772045135,4188.317154884338,2513.5484767913817
36,36,,,,3583.7879042625427,4188.684849739075,2583.3598909537
37,37,,,,3586.0511395931244,4193.020978450775,2653.2435739278794
38,38,,,,3582.3426582813263,4188.819194316864,2723.0572271664937
