,epoch,total_reward
0,0,1396.1257721557124
0,1,1433.7704581528196
0,2,1488.9351274669693
0,3,1527.0668995680905
0,4,1558.8318125102558
0,5,1553.7302015940998
0,6,1595.5799608587793
0,7,1545.6660485549519
0,8,1405.210567830707
0,9,1343.719781405332
0,10,1555.891723733226
0,11,1512.7846685972347
0,12,1468.4890824982572
0,13,1456.185106088147
0,14,1435.2267438262097
0,15,1595.3656024955055
0,16,1483.960852468456
0,17,1589.7468225617781
0,18,1558.6532668582815
0,19,-159.13340815080025
0,20,1604.2761480642314
0,21,1535.7815298226637
0,22,1504.8371463769265
0,23,1546.3502559626515
0,24,1483.0849761006057
0,25,1523.4199039056864
0,26,1556.9411185080476
0,27,1510.6471943708068
0,28,1646.2633749467595
0,29,1648.2988739432235
0,30,1500.04592187329
0,31,1527.6967061458722
0,32,1521.2897052388519
0,33,1541.2636566203191
0,34,1533.4995337393286
0,35,1453.6591415647354
0,36,1583.973160341425
0,37,1436.0020600003118
0,38,1516.2661685024827
0,39,1357.886314859258
0,40,1543.755816912573
0,41,1434.111784356363
0,42,1582.0573403634182
0,43,1560.1794307849605
0,44,1372.0461854300538
0,45,1484.8810140500925
0,46,1552.6969944708144
0,47,1526.945332003726
0,48,1603.1969462887932
0,49,1474.8236485390696
