,epoch,total_reward
0,0,1387.1514560573173
0,1,1364.9554385215522
0,2,1331.6632957967581
0,3,1409.867105553265
0,4,1269.4111505518465
0,5,1266.8457990944094
0,6,1258.7379778891172
0,7,1417.2606054095827
0,8,1365.0616294846795
0,9,1403.4425772231436
0,10,1371.0587363518655
0,11,1266.1595033845067
0,12,1415.8400440845887
0,13,811.9150977063487
0,14,1330.745215515773
0,15,1367.1469935258028
0,16,1265.46608407518
0,17,1244.4263258958367
0,18,1319.2661429393434
0,19,1404.3246307964453
0,20,1337.7823901117204
0,21,1367.1103302419185
0,22,1298.409670272603
0,23,1404.792684075854
0,24,1354.1315170912653
0,25,1332.2143338267804
0,26,1210.865243914353
0,27,1294.68589332984
0,28,1286.0719670549395
0,29,1241.1906735889772
0,30,1331.7993667778203
0,31,1267.4251886865138
0,32,1355.4688211111702
0,33,1355.3273126732402
0,34,1301.3989085881146
0,35,1329.8135592742508
0,36,1351.0309686296357
0,37,1344.9118580064514
0,38,1244.380324883622
0,39,1162.3926747233604
0,40,1201.2689959940828
0,41,1329.8466431306335
0,42,1400.1921321993377
0,43,1251.2673061699102
0,44,1406.8785609473384
0,45,1260.8869146961138
0,46,1217.7725776393515
0,47,1289.8444885723181
0,48,1196.6963402589206
0,49,1367.6778663369657
