,epoch,total_reward
0,0,788.9422524868119
0,1,828.0983950750239
0,2,800.4153165296414
0,3,819.9965257438789
0,4,818.7357850214362
0,5,815.7562196788774
0,6,866.0059019288367
0,7,829.7080855917851
0,8,828.3585953929771
0,9,825.5401720084438
0,10,856.1536552391211
0,11,825.0168624744224
0,12,860.888976799083
0,13,819.8168614952274
0,14,816.2813827785534
0,15,823.2481226531995
0,16,851.1209673209157
0,17,856.8968927342448
0,18,837.6029804750349
0,19,836.6785925717855
0,20,851.7003766217382
0,21,829.3660138025281
0,22,843.0623774424115
0,23,833.0435007064971
0,24,843.0709142943572
0,25,855.6358016683631
0,26,838.7720058280944
0,27,854.6361781488454
0,28,850.9141458453037
0,29,827.3212615761989
0,30,826.1871637331727
0,31,824.0287631482164
0,32,837.0728026809609
0,33,825.6361258997246
0,34,843.977492092694
0,35,831.5187206152546
0,36,853.1981051031265
0,37,848.0309690145266
0,38,807.969961331128
0,39,845.5195847493809
0,40,826.2632832680138
0,41,854.5587406406628
0,42,825.6372055364125
0,43,827.9013029176078
0,44,855.6847893873212
0,45,815.0620920040005
0,46,799.773102752922
0,47,838.0134957549402
0,48,827.6958535408758
0,49,835.5612855731905
