,epoch,total_reward
0,0,773.4320477797684
0,1,775.1766773024256
0,2,783.2180815110256
0,3,763.5356375869987
0,4,803.1368944729483
0,5,787.3215311712555
0,6,789.4232012438073
0,7,778.9940341078706
0,8,773.9970593813904
0,9,756.4530707259752
0,10,759.6008510913229
0,11,790.2198165135294
0,12,793.2108661434839
0,13,792.5991172964575
0,14,766.2357014259215
0,15,795.9750751733117
0,16,782.8810966588097
0,17,795.2601475609355
0,18,773.8547966173938
0,19,789.4252066509939
0,20,754.5466870065305
0,21,776.5980177320935
0,22,758.1143689979314
0,23,782.28626485609
0,24,801.1053832517841
0,25,771.3520203709412
0,26,818.9158566979411
0,27,788.640611093334
0,28,743.7141665400069
0,29,763.2251098194574
0,30,756.9317055896972
0,31,897.4136298501757
0,32,774.6219902017899
0,33,799.6497217168911
0,34,781.209169891767
0,35,837.9322950391875
0,36,785.1277247453726
0,37,757.8239757052395
0,38,862.4273519034532
0,39,750.9212180343746
0,40,806.9125632460018
0,41,766.5800094406317
0,42,782.6879719707728
0,43,774.0770995931747
0,44,787.9418353965425
0,45,776.30282681149
0,46,804.2844230002194
0,47,810.5026637274946
0,48,793.6896514672234
0,49,796.8853279850659
