,epoch,total_reward
0,0,664.357312215945
0,1,252.4978850852949
0,2,538.3443840167365
0,3,747.0940903447403
0,4,903.7834801712695
0,5,986.463961648336
0,6,789.0708065771078
0,7,862.0969769777155
0,8,909.2301551305576
0,9,867.8873779011304
0,10,879.2654123525866
0,11,748.6647234461362
0,12,940.3053736457267
0,13,961.016327574018
0,14,935.7381146763967
0,15,680.0117213697839
0,16,835.1948893590196
0,17,940.6417847559864
0,18,933.7515765773695
0,19,909.7751134935071
0,20,845.9917115950099
0,21,949.3675212542757
0,22,929.7793326264185
0,23,762.7693466359711
0,24,1015.7448531550046
0,25,892.9252392695906
0,26,915.3451499576005
0,27,787.0064346662324
0,28,677.247822421429
0,29,872.1042543785397
0,30,1013.3841151346583
0,31,930.4582524282093
0,32,998.5911984720776
0,33,741.1747626828119
0,34,171.88904154222163
0,35,819.3939904978017
0,36,901.4683421142043
0,37,896.7238646730278
0,38,913.4703059045479
0,39,882.036852985758
0,40,954.0937097369947
0,41,770.3207851655418
0,42,893.2845679629631
0,43,978.5705964326504
0,44,688.0419868096735
0,45,909.265606849947
0,46,916.6133060241644
0,47,483.16139405039365
0,48,290.67413394786394
0,49,926.4428085148379
