,epoch,total_reward
0,0,371.36162263514194
0,1,843.1008545208942
0,2,813.7165396169058
0,3,866.2035361224129
0,4,798.9765920230539
0,5,838.1135861987643
0,6,836.3596722833711
0,7,841.7588476739227
0,8,835.5801246895469
0,9,836.8838710263725
0,10,824.7285222929452
0,11,831.7657126911687
0,12,797.2324085162996
0,13,827.5168634287462
0,14,822.8033260126033
0,15,821.5276975777416
0,16,819.6724898346235
0,17,847.3277847503663
0,18,857.9285089279517
0,19,835.7656742448884
0,20,823.5515252872777
0,21,818.2925447059353
0,22,852.0869835373575
0,23,828.5785451989425
0,24,833.6951004888895
0,25,825.7154112136842
0,26,823.8276250837279
0,27,816.2932233676908
0,28,824.7518728290194
0,29,839.9720282290971
0,30,808.5386982516263
0,31,811.6805082152645
0,32,859.933934071606
0,33,822.5154734482031
