,epoch,time_trainer,time_epoch,acc_time,time_trainer (s),time_epoch (s),acc_time (min)
0,16,,,,2777.8286242485046,3480.771470785141,58.01285784641902
1,17,,,,2795.969262599945,3484.387660264969,116.08598551750183
2,18,,,,2796.2316420078278,3484.7047567367554,174.1643981297811
3,19,,,,2798.1963396072388,3484.364900827408,232.23714647690454
4,20,,,,2799.337385892868,3490.6282980442047,290.4142847776413
5,21,,,,2797.873251914978,3488.4316177368164,348.55481173992155
6,22,,,,2798.066403865814,3493.0074656009674,406.771602833271
7,23,,,,2800.3917152881622,3502.842163324356,465.1523055553436
8,24,,,,2803.3824801445007,3490.627464532852,523.3294299642245
9,25,,,,2798.907143354416,3490.1008172035217,581.4977769176165
10,26,,,,2792.7671461105347,3486.6339213848114,639.6083422740301
11,27,,,,2792.6114645004272,3486.1572256088257,697.7109627008438
12,28,,,,2791.6119992733,3478.856602191925,755.6919060707093
13,29,,,,2790.4655969142914,3487.100117444992,813.8102413614591
14,30,,,,2792.0746188163757,3488.730780363083,871.9557543675105
15,31,,,,2791.634131669998,3482.3882958889008,929.9955592989921
16,32,,,,2790.689973115921,3480.7224686145782,988.0076004425684
17,33,,,,2789.6845309734344,3476.6074509620667,1045.9510579586029
18,34,,,,2790.147009372711,3478.905863761902,1103.9328223546347
19,35,,,,2791.083395957947,3482.8551428318024,1161.980408068498
20,36,,,,2791.889543533325,3479.376762866974,1219.9700207829476
21,37,,,,2791.250815629959,3480.8635346889496,1277.9844130277634
22,38,,,,2791.7542083263397,3482.244946718216,1336.0218288064002
23,39,,,,2791.1310544013977,3487.03737950325,1394.1391184647878
24,40,,,,2790.624445915222,3477.235134124756,1452.093037366867
25,41,,,,2790.8992640972137,3480.138037919998,1510.095337998867
26,42,,,,2790.197938680649,3482.6495745182037,1568.1394975741705
27,43,,,,2792.62863612175,3485.971251010895,1626.239018424352
28,44,,,,2789.8980181217194,3475.448689222336,1684.1631632447243
29,45,,,,2791.8256056308746,3482.0282742977142,1742.1969678163528
30,46,,,,2791.355958223343,3480.470883131027,1800.2048158685366
31,47,,,,2790.6657769680023,3479.416311979294,1858.1950877348581
32,48,,,,2790.3218166828156,3478.2560975551605,1916.1660226941108
33,49,,,,2790.6838505268097,3474.374577999115,1974.0722656607627
