,epoch,total_reward
0,0,1479.0972204773498
0,1,1544.356216616406
0,2,1512.2529492225478
0,3,1564.8376243731575
0,4,1483.216118501851
0,5,1535.7377708456277
0,6,1384.056639142118
0,7,1465.2394700662303
0,8,1472.702963836675
0,9,1431.4224092527436
0,10,1557.3363771044558
0,11,1556.1221934068662
0,12,1571.2691873560284
0,13,1490.5084085681422
0,14,1512.2567116802486
0,15,1187.6028059285236
0,16,1480.1822220070728
0,17,1501.842353526628
0,18,1511.8039810454927
0,19,1605.1915029431439
0,20,1608.976916370127
0,21,1490.3690017557956
0,22,1443.1288775747562
0,23,1669.3427925212263
0,24,1543.4160715118924
0,25,1500.3810754897404
0,26,1490.6715836954147
0,27,1526.0617215785157
0,28,1332.6696372404272
0,29,1371.3328087111327
0,30,1583.0832746494686
0,31,1422.9441792544246
0,32,1481.7250078771735
0,33,1478.4319432309103
0,34,1543.2886509447699
0,35,1383.157305495296
0,36,1541.8657467729413
0,37,1366.9034320556386
0,38,1524.8983823972042
