,epoch,total_reward
0,0,960.605636698301
0,1,1346.4017556039798
0,2,1260.0737032708753
0,3,955.5464650583548
0,4,1239.7048444515692
0,5,1312.2462193668298
0,6,1345.1730093635585
0,7,1401.006413718419
0,8,1412.8128600893808
0,9,1400.2572502101818
0,10,1320.3072263080892
0,11,1443.9289894423475
0,12,1376.1918211078107
0,13,1317.5842214689198
0,14,1302.3025437567005
0,15,1330.1437442293438
0,16,1293.0651016714557
0,17,1436.6701366133111
0,18,1338.7956312328233
0,19,1416.5040073327652
0,20,1237.7755773723475
0,21,1322.323471826863
0,22,1370.4072074720366
0,23,1255.662248916573
0,24,1429.5361311067234
0,25,1456.401839020731
